id:Number,initial:String,name:String,rarity:Number,year:Number,type:Number,isLimited:Number,group:String
5,ツ,ツバキ,5,2015,1,0,gacha5
6,ブ,ブラックバッカラ,6,2015,1,0,gacha6
10,オ,オンシジューム,5,2015,1,0,gacha5
11,シ,シンビジューム,5,2015,2,0,gacha5
12,デ,デンドロビウム,6,2015,2,0,gacha6
13,カ,カトレア,6,2015,4,0,gacha6
20,レ,レッドジンジャー,6,2015,1,0,gacha6
21,ス,スイレン,5,2015,1,0,gacha5
29,オ,オトメユリ,5,2015,3,0,gacha5
33,サ,サボテン,6,2015,2,0,gacha6
34,ス,スズラン,5,2015,4,0,gacha5
35,ス,スミレ,5,2015,2,0,gacha5
37,ウ,ウメ,6,2015,3,0,gacha6
38,バ,バラ,5,2015,3,0,gacha5
39,サ,サクラ,6,2015,4,0,gacha6
46,コ,コスモス,5,2015,2,0,gacha5
58,ホ,ホトトギス,5,2015,3,0,gacha5
67,ク,クロユリ,6,2015,1,0,gacha6
68,レ,レッドチューリップ,5,2015,4,0,gacha5
76,モ,モモ,5,2015,2,0,gacha5
77,ハ,ハナモモ,6,2015,2,0,gacha6
78,キ,キルタンサス,5,2015,2,0,gacha5
79,ア,アネモネ,6,2015,3,0,gacha6
80,ガ,ガーベラ,5,2015,1,0,gacha5
81,チ,チョコレートコスモス,5,2015,3,0,gacha5
82,ス,ストロベリーキャンドル,5,2015,4,0,gacha5
83,リ,リューココリーネ,5,2015,4,0,gacha5
84,ハ,ハナミズキ,6,2015,4,0,gacha6
85,ア,アイリス,5,2015,3,0,gacha5
86,ア,アンスリウム,5,2015,3,0,gacha5
87,デ,デージー,6,2015,3,0,gacha6
88,エ,エノコログサ,5,2015,4,0,gacha5
89,ジ,ジャーマンアイリス,5,2015,4,0,gacha5
91,ヤ,ヤマブキ,6,2015,1,0,gacha6
92,サ,サクランボ,6,2015,2,0,gacha6
94,ル,ルピナス,5,2015,1,0,gacha5
96,チ,チェリーセージ,5,2015,1,0,gacha5
97,ゲ,ゲッカビジン,5,2015,4,0,gacha5
98,ハ,ハナショウブ,5,2015,3,0,gacha5
99,ナ,ナデシコ,6,2015,1,0,gacha6
101,イ,イオノシジウム,6,2015,3,0,gacha6
102,カ,カタバミ,5,2015,2,0,gacha5
103,ダ,ダリア,5,2015,1,0,gacha5
104,ネ,ネリネ,6,2015,4,0,gacha6
105,サ,サンゴバナ,5,2015,1,0,gacha5
106,ク,クチナシ,5,2015,2,0,gacha5
109,オ,オオオニバス,6,2015,1,0,gacha6
110,ツ,ツキミソウ,5,2015,4,0,gacha5
111,ナ,ナイトフロックス,5,2015,3,0,gacha5
113,ヒ,ヒガンバナ,6,2015,4,0,gacha6
114,エ,エピデンドラム,5,2015,4,0,gacha5
115,キ,キンギョソウ,5,2015,2,0,gacha5
117,ツ,ツバキ(フォスの花嫁),5,2015,1,0,gacha5
118,オ,オンシジューム(フォスの花嫁),6,2015,1,0,gacha6
119,サ,サボテン(フォスの花嫁),5,2015,2,0,gacha5
121,サ,サンカクサボテン,5,2015,3,0,gacha5
122,ス,ススキ,5,2015,1,0,gacha5
123,ウ,ウサギノオ,6,2015,2,0,gacha6
125,キ,キンレンカ,5,2015,1,0,gacha5
126,ロ,ローレンティア,5,2015,3,0,gacha5
127,ヘ,ヘレニウム,6,2015,4,0,gacha6
129,ユ,ユーカリ,5,2015,2,0,gacha5
130,イ,イチョウ,5,2015,4,0,gacha5
131,モ,モミジ,6,2015,1,0,gacha6
134,フ,フォックスフェイス,5,2015,4,0,gacha5
135,ラ,ランタナ,5,2015,1,0,gacha5
136,ペ,ペポ,6,2015,2,0,gacha6
138,ペ,ペンタス,5,2015,1,0,gacha5
139,エ,エキナセア,5,2015,3,0,gacha5
140,ビ,ビオラ,6,2015,2,0,gacha6
142,リ,リンゴ,5,2015,4,0,gacha5
143,ア,アイビー,5,2015,2,0,gacha5
144,ヤ,ヤドリギ,6,2015,3,0,gacha6
146,モ,モミノキ,5,2015,3,0,gacha5
147,ポ,ポインセチア,5,2015,1,0,gacha5
148,ク,クリスマスローズ,6,2015,2,0,gacha6
150,セ,センリョウ,5,2015,4,0,gacha5
151,ナ,ナンテン,5,2015,4,0,gacha5
152,ハ,ハボタン,5,2015,3,0,gacha5
153,マ,マンリョウ,6,2015,4,0,gacha6
155,ボ,ボタン,5,2016,4,0,gacha5
156,ユ,ユリ,5,2016,3,0,gacha5
157,シ,シャクヤク,6,2016,1,0,gacha6
159,ア,アカシア,6,2016,1,0,gacha6
160,ヘ,ヘリオトロープ,5,2016,3,0,gacha5
161,ポ,ポピー,5,2016,1,0,gacha5
163,ベ,ベロニカ,5,2016,4,0,gacha5
164,バ,バルーンバイン,5,2016,4,0,gacha5
165,シ,シャムサクララン,6,2016,1,0,gacha6
167,ヒ,ヒメシャラ,5,2016,1,0,gacha5
168,ベ,ベルゲニア,5,2016,4,0,gacha5
169,ニ,ニシキギ,6,2016,3,0,gacha6
174,デ,デルフィニウム,5,2016,1,0,gacha5
175,ロ,ローズマリー,5,2016,4,0,gacha5
